"ID"	"Food_name"	"Nutritional_fitness"	"Vitamin"	"Percent_of_daily_intake"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Vitamin D"	"0.98"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Vitamin B12"	"0.94"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Selenium"	"0.84"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Methionine"	"0.72"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Lysine"	"0.71"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Histidine"	"0.6"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Threonine"	"0.6"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Isoleucine"	"0.59"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Leucine"	"0.59"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Valine"	"0.57"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Protein"	"0.51"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Phenylalanine"	"0.51"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Choline"	"0.5"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Tryptophan"	"0.49"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Phosphorus"	"0.32"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Niacin"	"0.3"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Pantothenic acid"	"0.28"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Vitamin B6"	"0.27"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Potassium"	"0.18"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Magnesium"	"0.13"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Vitamin E"	"0.12"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Zinc"	"0.12"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Calcium"	"0.11"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Vitamin A"	"0.11"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Thiamin"	"0.08"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Total lipid"	"0.06"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Iron"	"0.03"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Copper"	"0.03"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Folate"	"0.03"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Vitamin C"	"0.02"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Manganese"	"0.01"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Riboflavin"	"0.0"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Vitamin K"	"0.0"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Fiber"	"0.0"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Carbohydrate"	"0.0"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"Linoleic acid"	"0.0"
"15101"	"Fish, snapper, mixed species, raw†"	0.83	"alpha-Linolenic acid"	"0.0"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Vitamin B12"	"0.96"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Vitamin D"	"0.95"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Selenium"	"0.86"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Methionine"	"0.73"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Lysine"	"0.72"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Threonine"	"0.59"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Isoleucine"	"0.58"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Choline"	"0.58"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Leucine"	"0.57"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Valine"	"0.53"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Phenylalanine"	"0.49"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Histidine"	"0.49"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Protein"	"0.48"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Tryptophan"	"0.48"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Phosphorus"	"0.41"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Niacin"	"0.34"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Pantothenic acid"	"0.15"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Calcium"	"0.11"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Zinc"	"0.11"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Potassium"	"0.11"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Magnesium"	"0.1"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Vitamin E"	"0.09"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Thiamin"	"0.08"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Vitamin B6"	"0.08"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Total lipid"	"0.07"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Folate"	"0.06"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Riboflavin"	"0.06"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Iron"	"0.05"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Vitamin A"	"0.05"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"alpha-Linolenic acid"	"0.03"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Copper"	"0.03"
"15057"	"Fish, ocean perch, Atlantic, raw†"	0.8	"Manganese"	"0.01"
