"nutrient_id"	"amount"	"fdc_id"	"name"	"unit_name"	"NDB_number"	"Food_Name"
1110	0	167640	"Vitamin D (D2 + D3), International Units"	"IU"	35155	"Blueberries, wild, raw (Alaska Native)†"
1170	0.265	167640	"Pantothenic acid"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1114	0	167640	"Vitamin D (D2 + D3)"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1003	1.22	167640	"Protein"	"G"	35155	"Blueberries, wild, raw (Alaska Native)†"
1007	0.23	167640	"Ash"	"G"	35155	"Blueberries, wild, raw (Alaska Native)†"
1009	0	167640	"Starch"	"G"	35155	"Blueberries, wild, raw (Alaska Native)†"
1012	3.35	167640	"Fructose"	"G"	35155	"Blueberries, wild, raw (Alaska Native)†"
1013	0	167640	"Lactose"	"G"	35155	"Blueberries, wild, raw (Alaska Native)†"
1018	0	167640	"Alcohol, ethyl"	"G"	35155	"Blueberries, wild, raw (Alaska Native)†"
1062	255	167640	"Energy"	"kJ"	35155	"Blueberries, wild, raw (Alaska Native)†"
1075	0	167640	"Galactose"	"G"	35155	"Blueberries, wild, raw (Alaska Native)†"
1079	2.6	167640	"Fiber, total dietary"	"G"	35155	"Blueberries, wild, raw (Alaska Native)†"
1089	0.37	167640	"Iron, Fe"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1090	7	167640	"Magnesium, Mg"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1091	29	167640	"Phosphorus, P"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1093	6	167640	"Sodium, Na"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1098	0.03	167640	"Copper, Cu"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1101	2	167640	"Manganese, Mn"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1120	0	167640	"Cryptoxanthin, beta"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1122	0	167640	"Lycopene"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1127	0.01	167640	"Tocopherol, delta"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1130	0.46	167640	"Tocotrienol, gamma"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1131	0	167640	"Tocotrienol, delta"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1162	18.3	167640	"Vitamin C, total ascorbic acid"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1165	0.067	167640	"Thiamin"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1166	0.414	167640	"Riboflavin"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1177	33	167640	"Folate, total"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1178	0	167640	"Vitamin B-12"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1184	0	167640	"Vitamin K (Dihydrophylloquinone)"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1185	17.2	167640	"Vitamin K (phylloquinone)"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1187	33	167640	"Folate, food"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1105	0	167640	"Retinol"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1107	69	167640	"Carotene, beta"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1108	0	167640	"Carotene, alpha"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1175	0.026	167640	"Vitamin B-6"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1183	0	167640	"Vitamin K (Menaquinone-4)"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1186	0	167640	"Folic acid"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1125	0.01	167640	"Tocopherol, beta"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1126	0.19	167640	"Tocopherol, gamma"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
